#patm    pac   Rmax
32000.0    52000000.0   0.00119475
32000.0    54000000.0   0.0012328
32000.0    56000000.0   0.00127071
32000.0    58000000.0   0.00130831
32000.0    60000000.0   0.00134565
32000.0    62000000.0   0.00138278
32000.0    64000000.0   0.00141975
32000.0    66000000.0   0.00145643
32000.0    68000000.0   0.00149298
32000.0    70000000.0   0.0015293
32000.0    72000000.0   0.00156531
32000.0    74000000.0   0.00160132
32000.0    76000000.0   0.00163701
32000.0    78000000.0   0.0016727
32000.0    80000000.0   0.00170816
32000.0    82000000.0   0.00174339
32000.0    84000000.0   0.00177842
32000.0    86000000.0   0.00181339
32000.0    88000000.0   0.00184828
32000.0    90000000.0   0.00188289
32000.0    92000000.0   0.00191744
32000.0    94000000.0   0.00195179
32000.0    96000000.0   0.00198605
32000.0    98000000.0   0.00202008

34000.0    2000000.0   6.18989e-05
34000.0    4000000.0   0.000127045
34000.0    6000000.0   0.000184629
34000.0    8000000.0   0.000238475
34000.0    10000000.0   0.000289817
34000.0    12000000.0   0.000339292
34000.0    14000000.0   0.000387272
34000.0    16000000.0   0.000434051
34000.0    18000000.0   0.000479781
34000.0    20000000.0   0.000524588
34000.0    22000000.0   0.000568632
34000.0    24000000.0   0.000611941
34000.0    26000000.0   0.000654614
34000.0    28000000.0   0.000696701
34000.0    30000000.0   0.000738276
34000.0    32000000.0   0.000779328
34000.0    34000000.0   0.000819946
34000.0    36000000.0   0.000860127
34000.0    38000000.0   0.000899871
34000.0    40000000.0   0.000939315
34000.0    42000000.0   0.000978349
34000.0    44000000.0   0.00101709
34000.0    46000000.0   0.00105549
34000.0    48000000.0   0.0010936
34000.0    50000000.0   0.00113142
34000.0    52000000.0   0.00116887
34000.0    54000000.0   0.00120625
34000.0    56000000.0   0.00124327
34000.0    58000000.0   0.00128003
34000.0    60000000.0   0.00131659
34000.0    62000000.0   0.00135296
34000.0    64000000.0   0.00138912
34000.0    66000000.0   0.00142504
34000.0    68000000.0   0.00146078
34000.0    70000000.0   0.00149626
34000.0    72000000.0   0.00153163
34000.0    74000000.0   0.00156685
34000.0    76000000.0   0.00160184
34000.0    78000000.0   0.00163666
34000.0    80000000.0   0.00167134
34000.0    82000000.0   0.00170584
34000.0    84000000.0   0.00174008
34000.0    86000000.0   0.00177435
34000.0    88000000.0   0.00180843
34000.0    90000000.0   0.00184225
34000.0    92000000.0   0.0018761
34000.0    94000000.0   0.00190965
34000.0    96000000.0   0.00194316
34000.0    98000000.0   0.00197664

36000.0    2000000.0   6.03283e-05
36000.0    4000000.0   0.000124243
36000.0    6000000.0   0.0001807
36000.0    8000000.0   0.000233469
36000.0    10000000.0   0.000283793
36000.0    12000000.0   0.000332277
36000.0    14000000.0   0.000379312
36000.0    16000000.0   0.000425142
36000.0    18000000.0   0.00046995
36000.0    20000000.0   0.00051384
36000.0    22000000.0   0.000557015
36000.0    24000000.0   0.000599435
36000.0    26000000.0   0.000641276
36000.0    28000000.0   0.000682519
36000.0    30000000.0   0.00072324
36000.0    32000000.0   0.000763459
36000.0    34000000.0   0.000803227
36000.0    36000000.0   0.000842611
36000.0    38000000.0   0.000881615
36000.0    40000000.0   0.00092019
36000.0    42000000.0   0.000958493
36000.0    44000000.0   0.000996389
36000.0    46000000.0   0.00103403
36000.0    48000000.0   0.0010714
36000.0    50000000.0   0.00110845
36000.0    52000000.0   0.0011452
36000.0    54000000.0   0.00118178
36000.0    56000000.0   0.00121802
36000.0    58000000.0   0.00125412
36000.0    60000000.0   0.00128986
36000.0    62000000.0   0.00132548
36000.0    64000000.0   0.00136091
36000.0    66000000.0   0.00139607
